Columnnr	Columnchar	shortname	fullquestion
1.0	"A"	"ID_PROJ"	"Project ID (given in metadata sheet)"
2.0	"B"	"ID_COUNTRY"	"Country ID (given in metadata sheet)"
3.0	"C"	"YEAR"	"Year of survey implementation"
4.0	"D"	"ITERATION"	"Iteration (if in repeat survey; see metadata information)"
5.0	"E"	"SURVEY_ID"	"Overall Survey ID, combining country ID, project ID and year"
6.0	"F"	"ID_HH"	"Household ID "
7.0	"G"	"GPS_LAT"	"GPS_latitude"
8.0	"H"	"GPS_LON"	"GPS_longitude"
9.0	"I"	"GPS_ALT"	"GPS_altitude"
10.0	"J"	"start_time_user"	"Time at beginning of survey"
11.0	"K"	"starttime_auto"	"Time at beginning of survey"
12.0	"L"	"starttime_calculated"	"Time at beginning of survey"
13.0	"M"	"country"	"Country name"
14.0	"N"	"local_currency"	"Local currency "
15.0	"O"	"region"	"Region name "
16.0	"P"	"sublocation"	"Sub region name "
17.0	"Q"	"beneficiary"	"Is the household a beneficiary of the project "
18.0	"R"	"participation"	"Consent to provide information for this survey "
19.0	"S"	"respondentsex"	"Is the respondent male or female "
20.0	"T"	"respondent_is_head"	"Is the respondent the head of the household "
21.0	"U"	"household_position"	"How are you related to the head "
22.0	"V"	"household_type"	"Is the head person married  or has a partner  "
23.0	"W"	"work_away"	"Does the head person often live and work away from home "
24.0	"X"	"age_malehead"	"How old is the head man of the household "
25.0	"Y"	"age_femalehead"	"How old is the head woman  senior woman of the household "
26.0	"Z"	"education_level"	"What is the highest level of education the head person has completed "
27.0	"AA"	"children_under_4"	"How many young children live in your house  aged 3 or under "
28.0	"AB"	"children_4to10"	"How many children live in your house  aged between 4 and 10 "
29.0	"AC"	"males11to24"	"How many boys and men live in your house  aged between 11 and 24 "
30.0	"AD"	"females11to24"	"How many girls and women live in your house  aged between 11 and 24 "
31.0	"AE"	"males25to50"	"How many men live in your house  aged between 25 and 50 "
32.0	"AF"	"females25to50"	"How many girls and women live in your house  aged between 25 and 50 "
33.0	"AG"	"malesover50"	"How many elder men  aged over 50  live in your house "
34.0	"AH"	"femalesover50"	"How many elder women  aged over 50  live in your house "
35.0	"AI"	"count_people"	"Total number of household members, calculated if enabled in the ODK definition file"
36.0	"AJ"	"hh_pop_repeat_count"	"Total number of household members, calculated if household population is estimated in a separate module"
37.0	"AK"	"land_tenure"	"Does your household own land  rent land  use common land "
38.0	"AL"	"landcultivated"	"In total  how much land did you use for growing crops during the last 12 months "
39.0	"AM"	"unitland"	"Unit of land area "
40.0	"AN"	"areaunits_other"	"Specify other area units "
41.0	"AO"	"landowned"	"How much land does your household own "
42.0	"AP"	"unitland_owned"	"Unit of land area  1"
43.0	"AQ"	"land_ownership"	"Who in the family owns your household s land "
44.0	"AR"	"areaunits_other_own"	"Specify other area units  1"
45.0	"AS"	"landrentin"	"About how much land does your household rent in for use "
46.0	"AT"	"unitland_rentin"	"Unit of land area  2"
47.0	"AU"	"landrentout"	"About how much land does your household rent out for other people to use "
48.0	"AV"	"unitland_rentout"	"Unit of land area  3"
49.0	"AW"	"areaunits_other_rent"	"Specify other area units  2"
50.0	"AX"	"Farm_labour"	"Who works on your land household members or other people too  Consider crops  livestock  any farm activities "
51.0	"AY"	"land_slope"	"Is your land mostly flat  straight   sloping or steep slopes "
52.0	"AZ"	"homegarden"	"Does your household have a kitchen garden or other place where you grow vegetables and fruits for home consumption "
53.0	"BA"	"grow_crops"	"Does your household grow any crops "
54.0	"BB"	"crops_all"	"Which crops were grown by your household during the last 12 months "
55.0	"BC"	"crops_other1"	"Specify other crop  1  "
56.0	"BD"	"crops_other2"	"Specify other crop  2 "
57.0	"BE"	"crops_other3"	"Specify other crop  3 "
58.0	"BF"	"farm_planning_who"	"Who decided which crops to plant "
59.0	"BG"	"vegetables_which"	"What vegetables does your household grow "
60.0	"BH"	"fruits_which"	"What fruits and fruit trees does your household have "
61.0	"BI"	"harvest_early"	"Did you harvest any of your crops early during the last 12 months "
62.0	"BJ"	"early_harvest_crops"	"Which crops did you harvest early "
63.0	"BK"	"early_harvest_reasons"	"Why did you harvest the crops early "
64.0	"BL"	"early_harvest_reasons_other"	"Define  other  "
65.0	"BM"	"crops"	"Out of all of the crops grown by your household in the last 12 months  which were the MOST IMPORTANT "
66.0	"BN"	"crop_count"	"crop_count"
67.0	"BO"	"crop_name_1"	"I m going to ask you about each of these most important crops now  Define crop number   crop_rep_number  "
68.0	"BP"	"crop_label_1"	"Crop name in local language"
69.0	"BQ"	"crop_harvest_1"	"During the 12 months  was the   crop_label  harvest good or bad "
70.0	"BR"	"crop_yield_1"	"About how much   crop_label  did you harvest during the last 12 months "
71.0	"BS"	"crop_yield_units_1"	"Crop yield Units "
72.0	"BT"	"crop_intercrop_1"	"Did you grow   crop_label  intercropped with other plants "
73.0	"BU"	"crop_land_area_1"	"About how much of your land did you use for growing   crop_label  during the last 12 months "
74.0	"BV"	"crop_yield_units_other_1"	"Specify the crop yield  other  units "
75.0	"BW"	"crop_use_1"	"What did you do with the main harvest of   crop_label  during the last 12 months  Did you eat it  use at home  sell it "
76.0	"BX"	"crop_consumed_prop_1"	"About how much of the   crop_label  was consumed or used by the household during the last 12 months "
77.0	"BY"	"crop_sold_prop_1"	"About how much of the   crop_label  was sold during the last 12 months "
78.0	"BZ"	"crop_feed_lstk_prop_1"	"About how much of the   crop_label  was fed to livestock during the last 12 months "
